public_id,split,runtime_sec,volume_load_sec,roi_sec,inference_sec,volume_shape,roi_shape
mela_0001,train,1.9632737636566162,1.8399009704589844,0.0,0.12337279319763184,"(512, 512, 385)","(512, 512, 10)"
mela_0002,train,1.5902185440063477,1.5674488544464111,0.014869213104248047,0.007900476455688477,"(512, 512, 376)","(512, 512, 10)"
mela_0003,train,1.8224027156829834,1.7908954620361328,0.031507253646850586,0.0,"(512, 512, 429)","(512, 512, 10)"
mela_0004,train,1.9371511936187744,1.922877311706543,0.014273881912231445,0.0,"(512, 512, 453)","(512, 512, 10)"
mela_0005,train,1.8077483177185059,1.7841122150421143,0.021027565002441406,0.0026085376739501953,"(512, 512, 453)","(512, 512, 10)"
mela_0006,train,2.791074514389038,2.7597434520721436,0.03133106231689453,0.0,"(512, 512, 579)","(512, 512, 10)"
mela_0007,train,2.114861249923706,2.086111307144165,0.028749942779541016,0.0,"(512, 512, 460)","(512, 512, 10)"
mela_0008,train,2.1569485664367676,2.130424976348877,0.020104646682739258,0.006418943405151367,"(512, 512, 529)","(512, 512, 10)"
mela_0009,train,1.9207301139831543,1.883481740951538,0.03628087043762207,0.0009675025939941406,"(512, 512, 481)","(512, 512, 10)"
mela_0010,train,2.241030216217041,2.2091591358184814,0.03187108039855957,0.0,"(512, 512, 515)","(512, 512, 10)"
mela_0011,train,1.7442972660064697,1.7056195735931396,0.036739349365234375,0.0019383430480957031,"(512, 512, 429)","(512, 512, 10)"
mela_0012,train,2.05399751663208,2.0302023887634277,0.022812843322753906,0.0009822845458984375,"(512, 512, 416)","(512, 512, 10)"
mela_0013,train,2.2416558265686035,2.2139017581939697,0.02775406837463379,0.0,"(512, 512, 516)","(512, 512, 10)"
mela_0014,train,2.0792295932769775,2.025052309036255,0.05117988586425781,0.0029973983764648438,"(512, 512, 430)","(512, 512, 10)"
mela_0015,train,1.9077017307281494,1.8660547733306885,0.039646148681640625,0.0020008087158203125,"(512, 512, 296)","(512, 512, 10)"
mela_0016,train,3.045546531677246,3.026050567626953,0.017129898071289062,0.0023660659790039062,"(512, 512, 476)","(512, 512, 10)"
mela_0017,train,3.0082461833953857,2.9712157249450684,0.03703045845031738,0.0,"(512, 512, 501)","(512, 512, 10)"
mela_0018,train,1.4485185146331787,1.3854014873504639,0.06311702728271484,0.0,"(512, 512, 326)","(512, 512, 10)"
mela_0019,train,2.7915940284729004,2.765803813934326,0.020714759826660156,0.0050754547119140625,"(512, 512, 518)","(512, 512, 10)"
mela_0020,train,2.051940441131592,2.0050649642944336,0.0468754768371582,0.0,"(512, 512, 450)","(512, 512, 10)"
mela_0021,train,1.5989570617675781,1.5574262142181396,0.04153084754943848,0.0,"(512, 512, 326)","(512, 512, 10)"
mela_0022,train,2.2259163856506348,2.1859664916992188,0.037941694259643555,0.002008199691772461,"(512, 512, 403)","(512, 512, 10)"
mela_0023,train,2.127516984939575,2.1085989475250244,0.01891803741455078,0.0,"(512, 512, 433)","(512, 512, 10)"
mela_0024,train,2.645803213119507,2.5942270755767822,0.050092458724975586,0.00045013427734375,"(512, 512, 538)","(512, 512, 10)"
mela_0025,train,2.7584474086761475,2.698072671890259,0.05837535858154297,0.001999378204345703,"(512, 512, 458)","(512, 512, 10)"
mela_0026,train,2.4812171459198,2.451378345489502,0.02983880043029785,0.0,"(512, 512, 565)","(512, 512, 10)"
mela_0027,train,2.4132158756256104,2.3694722652435303,0.04173707962036133,0.00200653076171875,"(512, 512, 478)","(512, 512, 10)"
mela_0028,train,2.2863237857818604,2.237840175628662,0.04648399353027344,0.0019996166229248047,"(512, 512, 370)","(512, 512, 10)"
mela_0029,train,2.4621827602386475,2.450395107269287,0.011787652969360352,0.0,"(512, 512, 429)","(512, 512, 10)"
mela_0030,train,1.750183343887329,1.6972930431365967,0.050878047943115234,0.0020122528076171875,"(512, 512, 295)","(512, 512, 10)"
mela_0031,train,2.6601202487945557,2.6284024715423584,0.0160067081451416,0.015711069107055664,"(512, 512, 472)","(512, 512, 10)"
mela_0032,train,1.5693933963775635,1.5271220207214355,0.04227137565612793,0.0,"(512, 512, 320)","(512, 512, 10)"
mela_0033,train,2.788956642150879,2.773700714111328,0.015255928039550781,0.0,"(512, 512, 545)","(512, 512, 10)"
mela_0034,train,2.214017152786255,2.1663334369659424,0.0476837158203125,0.0,"(512, 512, 533)","(512, 512, 10)"
mela_0035,train,2.1374170780181885,2.089801788330078,0.04761528968811035,0.0,"(512, 512, 491)","(512, 512, 10)"
mela_0036,train,1.8238143920898438,1.7880933284759521,0.03371572494506836,0.002005338668823242,"(512, 512, 429)","(512, 512, 10)"
mela_0037,train,1.6096181869506836,1.593498945236206,0.01611924171447754,0.0,"(512, 512, 429)","(512, 512, 10)"
mela_0038,train,1.4310111999511719,1.4022066593170166,0.026798725128173828,0.0020058155059814453,"(512, 512, 346)","(512, 512, 10)"
mela_0039,train,1.1966357231140137,1.1805377006530762,0.0160980224609375,0.0,"(512, 512, 327)","(512, 512, 10)"
mela_0040,train,1.8030271530151367,1.78737473487854,0.01565241813659668,0.0,"(512, 512, 448)","(512, 512, 10)"
mela_0041,train,1.2234270572662354,1.2035722732543945,0.01985478401184082,0.0,"(512, 512, 299)","(512, 512, 10)"
mela_0042,train,2.3729565143585205,2.3413162231445312,0.01581120491027832,0.015829086303710938,"(512, 512, 475)","(512, 512, 10)"
mela_0043,train,0.39662957191467285,0.35845375061035156,0.03817582130432129,0.0,"(512, 512, 60)","(512, 512, 10)"
mela_0044,train,3.150240421295166,3.150240421295166,0.0,0.0,"(512, 512, 536)","(512, 512, 10)"
mela_0045,train,2.682716131210327,2.6192829608917236,0.06343317031860352,0.0,"(512, 512, 493)","(512, 512, 10)"
mela_0046,train,2.6110293865203857,2.565427780151367,0.045601606369018555,0.0,"(512, 512, 514)","(512, 512, 10)"
mela_0047,train,1.425050973892212,1.3768367767333984,0.04821419715881348,0.0,"(512, 512, 341)","(512, 512, 10)"
mela_0048,train,1.9150326251983643,1.8990106582641602,0.0160219669342041,0.0,"(512, 512, 501)","(512, 512, 10)"
mela_0049,train,1.995619297027588,1.9484963417053223,0.047122955322265625,0.0,"(512, 512, 474)","(512, 512, 10)"
mela_0050,train,2.028120756149292,1.9809589385986328,0.04716181755065918,0.0,"(512, 512, 517)","(512, 512, 10)"
mela_0051,train,1.3623275756835938,1.3147311210632324,0.04759645462036133,0.0,"(512, 512, 348)","(512, 512, 10)"
mela_0052,train,2.2201263904571533,2.2041304111480713,0.01599597930908203,0.0,"(512, 512, 499)","(512, 512, 10)"
mela_0053,train,1.752788782119751,1.6979379653930664,0.05180788040161133,0.003042936325073242,"(512, 512, 427)","(512, 512, 10)"
mela_0054,train,2.5718705654144287,2.5397133827209473,0.032157182693481445,0.0,"(512, 512, 568)","(512, 512, 10)"
mela_0055,train,1.8157086372375488,1.7678709030151367,0.04783773422241211,0.0,"(512, 512, 429)","(512, 512, 10)"
mela_0056,train,2.450119972229004,2.41282057762146,0.035301923751831055,0.0019974708557128906,"(512, 512, 475)","(512, 512, 10)"
mela_0057,train,4.112977504730225,4.041836738586426,0.06751632690429688,0.003624439239501953,"(512, 512, 549)","(512, 512, 10)"
mela_0058,train,3.5161616802215576,3.454772710800171,0.05506300926208496,0.006325960159301758,"(512, 512, 525)","(512, 512, 10)"
mela_0059,train,2.627180814743042,2.5793874263763428,0.032157182693481445,0.015636205673217773,"(512, 512, 473)","(512, 512, 10)"
mela_0060,train,1.4257917404174805,1.398012399673462,0.023610353469848633,0.004168987274169922,"(512, 512, 366)","(512, 512, 10)"
mela_0061,train,2.103900909423828,2.068054676055908,0.03584623336791992,0.0,"(512, 512, 510)","(512, 512, 10)"
mela_0062,train,2.449979782104492,2.402245044708252,0.04473376274108887,0.003000974655151367,"(512, 512, 491)","(512, 512, 10)"
mela_0063,train,2.447467803955078,2.392364263534546,0.05510354042053223,0.0,"(512, 512, 483)","(512, 512, 10)"
mela_0064,train,2.7811174392700195,2.724330425262451,0.053671836853027344,0.0031151771545410156,"(512, 512, 508)","(512, 512, 10)"
mela_0065,train,1.8649485111236572,1.819974660873413,0.04296755790710449,0.0020062923431396484,"(512, 512, 443)","(512, 512, 10)"
mela_0066,train,2.1904876232147217,2.1530280113220215,0.03154611587524414,0.005913496017456055,"(512, 512, 453)","(512, 512, 10)"
mela_0067,train,2.047288656234741,2.012937545776367,0.03186607360839844,0.002485036849975586,"(512, 512, 486)","(512, 512, 10)"
mela_0068,train,1.5697813034057617,1.527329444885254,0.040682077407836914,0.0017697811126708984,"(512, 512, 335)","(512, 512, 10)"
mela_0069,train,2.5742998123168945,2.5418078899383545,0.030490398406982422,0.002001523971557617,"(512, 512, 555)","(512, 512, 10)"
mela_0070,train,1.5743327140808105,1.5419530868530273,0.0323796272277832,0.0,"(512, 512, 306)","(512, 512, 10)"
mela_0071,train,2.8926451206207275,2.859638214111328,0.02900075912475586,0.004006147384643555,"(512, 512, 526)","(512, 512, 10)"
mela_0072,train,3.4753308296203613,3.435457706451416,0.037873029708862305,0.002000093460083008,"(512, 512, 521)","(512, 512, 10)"
mela_0073,train,2.5413568019866943,2.502624988555908,0.03873181343078613,0.0,"(512, 512, 539)","(512, 512, 10)"
mela_0074,train,1.8906846046447754,1.8437445163726807,0.04397773742675781,0.002962350845336914,"(512, 512, 429)","(512, 512, 10)"
mela_0075,train,2.390636682510376,2.3615171909332275,0.029119491577148438,0.0,"(512, 512, 491)","(512, 512, 10)"
mela_0076,train,1.4995372295379639,1.4555411338806152,0.04299640655517578,0.0009996891021728516,"(512, 512, 331)","(512, 512, 10)"
mela_0077,train,2.1975185871124268,2.1731245517730713,0.02439403533935547,0.0,"(512, 512, 535)","(512, 512, 10)"
mela_0078,train,1.9985430240631104,1.951324701309204,0.03141927719116211,0.01579904556274414,"(512, 512, 429)","(512, 512, 10)"
mela_0079,train,2.1774914264678955,2.142601490020752,0.032881736755371094,0.002008199691772461,"(512, 512, 514)","(512, 512, 10)"
mela_0080,train,2.310990333557129,2.251502752304077,0.05748343467712402,0.0020041465759277344,"(512, 512, 503)","(512, 512, 10)"
mela_0081,train,1.617393970489502,1.5610437393188477,0.054345130920410156,0.0020051002502441406,"(512, 512, 340)","(512, 512, 10)"
mela_0082,train,2.3447489738464355,2.328432083129883,0.016316890716552734,0.0,"(512, 512, 458)","(512, 512, 10)"
mela_0083,train,3.311460256576538,3.259793281555176,0.051666975021362305,0.0,"(512, 512, 528)","(512, 512, 10)"
mela_0084,train,3.48997163772583,3.417410373687744,0.06360006332397461,0.008961200714111328,"(512, 512, 501)","(512, 512, 10)"
